parent	child	length
01001 Protein kinases	K11219	1.0
03000 Transcription factors	K11220	1.0
03000 Transcription factors	K11221	1.0
03000 Transcription factors	K04692	1.0
03000 Transcription factors	K11222	1.0
03000 Transcription factors	K11225	1.0
04121 Ubiquitin system	K04701	1.0
04121 Ubiquitin system	K04695	1.0
04121 Ubiquitin system	K04697	1.0
04121 Ubiquitin system	K04698	1.0
04121 Ubiquitin system	K04699	1.0
05206 MicroRNAs in cancer	K02539	1.0
01001 Protein kinases	K04702	1.0
04812 Cytoskeleton proteins	K05640	1.0
04131 Membrane trafficking	K04705	1.0
01009 Protein phosphatases and associated proteins	K18026	1.0
01009 Protein phosphatases and associated proteins	K05697	1.0
03000 Transcription factors	K04693	1.0
04990 Domain-containing proteins not elsewhere classified	K14365	1.0
03036 Chromosome and associated proteins	K05856	1.0
01001 Protein kinases	K18052	1.0
04131 Membrane trafficking	K06856	1.0
01001 Protein kinases	K05855	1.0
04131 Membrane trafficking	K05854	1.0
05340 Primary immunodeficiency	K07371	1.0
01001 Protein kinases	K07370	1.0
09132 Signal transduction	04064 NF-kappa B signaling pathway	1.0
04064 NF-kappa B signaling pathway	K20912	1.0
09151 Immune system	04662 B cell receptor signaling pathway	1.0
04662 B cell receptor signaling pathway	K07367	1.0
04064 NF-kappa B signaling pathway	K20913	1.0
05152 Tuberculosis	K07368	1.0
01002 Peptidases and inhibitors	K07369	1.0
01001 Protein kinases	K02861	1.0
04121 Ubiquitin system	K09849	1.0
04052 Cytokines and growth factors	K05480	1.0
04050 Cytokine receptors	K05162	1.0
04064 NF-kappa B signaling pathway	K23324	1.0
04050 Cytokine receptors	K05163	1.0
09183 Protein families: signaling and cellular processes	04054 Pattern recognition receptors	1.0
04054 Pattern recognition receptors	K12646	1.0
04121 Ubiquitin system	K10652	1.0
04147 Exosome	K05399	1.0
00536 Glycosaminoglycan binding proteins	K10160	1.0
04936 Alcoholic liver disease	K05400	1.0
04936 Alcoholic liver disease	K05403	1.0
05417 Lipid and atherosclerosis	K05409	1.0
04936 Alcoholic liver disease	K05842	1.0
04090 CD molecules	K03161	1.0
04090 CD molecules	K03160	1.0
04936 Alcoholic liver disease	K03174	1.0
04090 CD molecules	K05473	1.0
04090 CD molecules	K05147	1.0
04052 Cytokines and growth factors	K05468	1.0
04052 Cytokines and growth factors	K03157	1.0
04090 CD molecules	K05477	1.0
04050 Cytokine receptors	K03159	1.0
04936 Alcoholic liver disease	K12793	1.0
04090 CD molecules	K05476	1.0
04090 CD molecules	K05151	1.0
09143 Cell growth and death	04115 p53 signaling pathway	1.0
04115 p53 signaling pathway	K10130	1.0
04131 Membrane trafficking	K16072	1.0
04131 Membrane trafficking	K04734	1.0
01002 Peptidases and inhibitors	K04724	1.0
09162 Cancer: specific types	05222 Small cell lung cancer	1.0
05222 Small cell lung cancer	K03172	1.0
09162 Cancer: specific types	05221 Acute myeloid leukemia	1.0
05221 Acute myeloid leukemia	K02162	1.0
00536 Glycosaminoglycan binding proteins	K10030	1.0
04121 Ubiquitin system	K11859	1.0
04052 Cytokines and growth factors	K12964	1.0
04052 Cytokines and growth factors	K05505	1.0
04091 Lectins	K06527	1.0
00536 Glycosaminoglycan binding proteins	K01348	1.0
00536 Glycosaminoglycan binding proteins	K16595	1.0
04052 Cytokines and growth factors	K05512	1.0
04052 Cytokines and growth factors	K16062	1.0
00536 Glycosaminoglycan binding proteins	K10031	1.0
04091 Lectins	K06490	1.0
04131 Membrane trafficking	K09558	1.0
03000 Transcription factors	K10048	1.0
03029 Mitochondrial biogenesis	K05870	1.0
03000 Transcription factors	K09048	1.0
03000 Transcription factors	K09047	1.0
01001 Protein kinases	K08847	1.0
01001 Protein kinases	K08849	1.0
04217 Necroptosis	K15637	1.0
04147 Exosome	K17065	1.0
01524 Platinum drug resistance	K02373	1.0
01002 Peptidases and inhibitors	K04398	1.0
01002 Peptidases and inhibitors	K04400	1.0
01002 Peptidases and inhibitors	K04397	1.0
00536 Glycosaminoglycan binding proteins	K14624	1.0
00536 Glycosaminoglycan binding proteins	K12499	1.0
04052 Cytokines and growth factors	K14625	1.0
04052 Cytokines and growth factors	K05506	1.0
00536 Glycosaminoglycan binding proteins	K12671	1.0
04052 Cytokines and growth factors	K05508	1.0
04090 CD molecules	K05173	1.0
03110 Chaperones and folding catalysts	K09258	1.0
09132 Signal transduction	04668 TNF signaling pathway	1.0
04668 TNF signaling pathway	K17072	1.0
03000 Transcription factors	K09028	1.0
01002 Peptidases and inhibitors	K01394	1.0
01002 Peptidases and inhibitors	K01403	1.0
01002 Peptidases and inhibitors	K07763	1.0
04933 AGE-RAGE signaling pathway in diabetic complications	K16366	1.0
04054 Pattern recognition receptors	K10165	1.0
04091 Lectins	K06494	1.0
04090 CD molecules	K05141	1.0
09143 Cell growth and death	04210 Apoptosis	1.0
04210 Apoptosis	K19901	1.0
03000 Transcription factors	K09444	1.0
03012 Translation factors	K03259	1.0
03000 Transcription factors	K08268	1.0
05211 Renal cell carcinoma	K09592	1.0
03000 Transcription factors	K09097	1.0
04131 Membrane trafficking	K21421	1.0
01002 Peptidases and inhibitors	K16451	1.0
04147 Exosome	K14736	1.0
04090 CD molecules	K06503	1.0
05143 African trypanosomiasis	K12334	1.0
02000 Transporters	K07299	1.0
01001 Protein kinases	K12077	1.0
01001 Protein kinases	K07298	1.0
04121 Ubiquitin system	K11838	1.0
02000 Transporters	K07191	1.0
04931 Insulin resistance	K16172	1.0
04931 Insulin resistance	K07187	1.0
09167 Endocrine and metabolic disease	04930 Type II diabetes mellitus	1.0
04930 Type II diabetes mellitus	K17445	1.0
04930 Type II diabetes mellitus	K17446	1.0
01001 Protein kinases	K13302	1.0
01001 Protein kinases	K13303	1.0
01001 Protein kinases	K13304	1.0
03000 Transcription factors	K07201	1.0
03000 Transcription factors	K09408	1.0
03000 Transcription factors	K17847	1.0
04030 G protein-coupled receptors	K04603	1.0
03037 Cilium and associated proteins	K15010	1.0
04131 Membrane trafficking	K17848	1.0
03036 Chromosome and associated proteins	K02206	1.0
03036 Chromosome and associated proteins	K11434	1.0
03000 Transcription factors	K09385	1.0
03036 Chromosome and associated proteins	K05868	1.0
03036 Chromosome and associated proteins	K21770	1.0
03036 Chromosome and associated proteins	K21771	1.0
04115 p53 signaling pathway	K10146	1.0
09143 Cell growth and death	04110 Cell cycle	1.0
04110 Cell cycle	K06623	1.0
03000 Transcription factors	K16332	1.0
03036 Chromosome and associated proteins	K06631	1.0
03036 Chromosome and associated proteins	K08861	1.0
03400 DNA repair and recombination proteins	K08862	1.0
03036 Chromosome and associated proteins	K08863	1.0
01521 EGFR tyrosine kinase inhibitor resistance	K16341	1.0
04090 CD molecules	K04721	1.0
03000 Transcription factors	K15618	1.0
02000 Transporters	K15464	1.0
03029 Mitochondrial biogenesis	K08336	1.0
03029 Mitochondrial biogenesis	K08341	1.0
04090 CD molecules	K04288	1.0
04030 G protein-coupled receptors	K04293	1.0
04121 Ubiquitin system	K10628	1.0
05340 Primary immunodeficiency	K10988	1.0
04121 Ubiquitin system	K10305	1.0
09155 Excretory system	04961 Endocrine and other factor-regulated calcium reabsorption	1.0
04961 Endocrine and other factor-regulated calcium reabsorption	K05850	1.0
04030 G protein-coupled receptors	K04129	1.0
04030 G protein-coupled receptors	K04131	1.0
04030 G protein-coupled receptors	K04133	1.0
04030 G protein-coupled receptors	K04141	1.0
04030 G protein-coupled receptors	K04142	1.0
04030 G protein-coupled receptors	K04143	1.0
04030 G protein-coupled receptors	K04144	1.0
04030 G protein-coupled receptors	K05840	1.0
04030 G protein-coupled receptors	K04150	1.0
04030 G protein-coupled receptors	K04160	1.0
04030 G protein-coupled receptors	K04161	1.0
04030 G protein-coupled receptors	K04162	1.0
04031 GTP-binding proteins	K04633	1.0
02000 Transporters	K05852	1.0
05415 Diabetic cardiomyopathy	K05853	1.0
09150 Organismal Systems	09153 Circulatory system	1.0
09153 Circulatory system	04260 Cardiac muscle contraction	1.0
04260 Cardiac muscle contraction	K23450	1.0
02000 Transporters	K16059	1.0
02000 Transporters	K18196	1.0
04040 Ion channels	K16056	1.0
04040 Ion channels	K16057	1.0
04040 Ion channels	K16058	1.0
04040 Ion channels	K04809	1.0
04040 Ion channels	K05215	1.0
04040 Ion channels	K05216	1.0
04040 Ion channels	K05217	1.0
04040 Ion channels	K05218	1.0
04040 Ion channels	K05219	1.0
04040 Ion channels	K05220	1.0
04040 Ion channels	K05221	1.0
04040 Ion channels	K05211	1.0
04040 Ion channels	K05212	1.0
04260 Cardiac muscle contraction	K23449	1.0
09132 Signal transduction	04020 Calcium signaling pathway	1.0
04020 Calcium signaling pathway	K23468	1.0
04260 Cardiac muscle contraction	K23445	1.0
04260 Cardiac muscle contraction	K00476	1.0
04030 G protein-coupled receptors	K04322	1.0
04030 G protein-coupled receptors	K04323	1.0
04030 G protein-coupled receptors	K04130	1.0
04030 G protein-coupled receptors	K04135	1.0
04030 G protein-coupled receptors	K04136	1.0
04030 G protein-coupled receptors	K04137	1.0
04030 G protein-coupled receptors	K04197	1.0
04030 G protein-coupled receptors	K04198	1.0
04030 G protein-coupled receptors	K04604	1.0
04030 G protein-coupled receptors	K04169	1.0
04030 G protein-coupled receptors	K04149	1.0
04030 G protein-coupled receptors	K04157	1.0
04030 G protein-coupled receptors	K04248	1.0
04030 G protein-coupled receptors	K04211	1.0
04030 G protein-coupled receptors	K04229	1.0
04030 G protein-coupled receptors	K04226	1.0
04030 G protein-coupled receptors	K04227	1.0
04030 G protein-coupled receptors	K04297	1.0
04030 G protein-coupled receptors	K04279	1.0
04030 G protein-coupled receptors	K04258	1.0
04030 G protein-coupled receptors	K04260	1.0
04030 G protein-coupled receptors	K04262	1.0
04030 G protein-coupled receptors	K03915	1.0
04030 G protein-coupled receptors	K03916	1.0
04030 G protein-coupled receptors	K04222	1.0
04030 G protein-coupled receptors	K04223	1.0
04030 G protein-coupled receptors	K04224	1.0
04030 G protein-coupled receptors	K04264	1.0
04030 G protein-coupled receptors	K04282	1.0
04030 G protein-coupled receptors	K04194	1.0
04030 G protein-coupled receptors	K04195	1.0
04031 GTP-binding proteins	K04635	1.0
04031 GTP-binding proteins	K04636	1.0
04031 GTP-binding proteins	K04637	1.0
01002 Peptidases and inhibitors	K23441	1.0
04052 Cytokines and growth factors	K05452	1.0
01001 Protein kinases	K05101	1.0
04090 CD molecules	K05100	1.0
01001 Protein kinases	K05126	1.0
04040 Ion channels	K16896	1.0
04040 Ion channels	K14077	1.0
04040 Ion channels	K04992	1.0
04040 Ion channels	K04993	1.0
04040 Ion channels	K04994	1.0
02000 Transporters	K20858	1.0
04040 Ion channels	K05862	1.0
04040 Ion channels	K15040	1.0
04040 Ion channels	K15041	1.0
02000 Transporters	K05863	1.0
03110 Chaperones and folding catalysts	K09565	1.0
04812 Cytoskeleton proteins	K05865	1.0
04812 Cytoskeleton proteins	K12042	1.0
01001 Protein kinases	K00871	1.0
04922 Glucagon signaling pathway	K07190	1.0
01001 Protein kinases	K08794	1.0
01001 Protein kinases	K05871	1.0
04070 Phosphatidylinositol signaling system	K13084	1.0
04138 Autophagy - yeast	K07756	1.0
04070 Phosphatidylinositol signaling system	K13024	1.0
05165 Human papillomavirus infection	K07206	1.0
01009 Protein phosphatases and associated proteins	K07207	1.0
04031 GTP-binding proteins	K07208	1.0
04031 GTP-binding proteins	K07937	1.0
09163 Immune disease	05310 Asthma	1.0
05310 Asthma	K08089	1.0
02000 Transporters	K08090	1.0
04147 Exosome	K07983	1.0
04131 Membrane trafficking	K05703	1.0
00536 Glycosaminoglycan binding proteins	K01313	1.0
01002 Peptidases and inhibitors	K09821	1.0
09155 Excretory system	04962 Vasopressin-regulated water reabsorption	1.0
04962 Vasopressin-regulated water reabsorption	K05242	1.0
04030 G protein-coupled receptors	K04605	1.0
04030 G protein-coupled receptors	K04606	1.0
04030 G protein-coupled receptors	K04607	1.0
04030 G protein-coupled receptors	K04608	1.0
04030 G protein-coupled receptors	K04609	1.0
04030 G protein-coupled receptors	K04610	1.0
04030 G protein-coupled receptors	K04228	1.0
04030 G protein-coupled receptors	K04273	1.0
04090 CD molecules	K04175	1.0
04090 CD molecules	K05050	1.0
04131 Membrane trafficking	K18441	1.0
04147 Exosome	K01528	1.0
04131 Membrane trafficking	K23484	1.0
04071 Sphingolipid signaling pathway	K18953	1.0
04147 Exosome	K01379	1.0
01524 Platinum drug resistance	K04726	1.0
04147 Exosome	K03898	1.0
04030 G protein-coupled receptors	K04265	1.0
04030 G protein-coupled receptors	K04268	1.0
04030 G protein-coupled receptors	K04213	1.0
04030 G protein-coupled receptors	K04292	1.0
04030 G protein-coupled receptors	K04290	1.0
04030 G protein-coupled receptors	K04295	1.0
04080 Neuroactive ligand-receptor interaction	K05264	1.0
04934 Cushing syndrome	K05256	1.0
05320 Autoimmune thyroid disease	K08522	1.0
04917 Prolactin signaling pathway	K08521	1.0
04080 Neuroactive ligand-receptor interaction	K25483	1.0
04080 Neuroactive ligand-receptor interaction	K25484	1.0
05320 Autoimmune thyroid disease	K05251	1.0
04934 Cushing syndrome	K05228	1.0
04714 Thermogenesis	K05259	1.0
09152 Endocrine system	04911 Insulin secretion	1.0
04911 Insulin secretion	K05258	1.0
04913 Ovarian steroidogenesis	K05250	1.0
04713 Circadian entrainment	K05262	1.0
04030 G protein-coupled receptors	K04259	1.0
04030 G protein-coupled receptors	K04587	1.0
04030 G protein-coupled receptors	K04590	1.0
04030 G protein-coupled receptors	K04578	1.0
04030 G protein-coupled receptors	K04579	1.0
04030 G protein-coupled receptors	K04249	1.0
04030 G protein-coupled receptors	K04200	1.0
04030 G protein-coupled receptors	K04581	1.0
04030 G protein-coupled receptors	K04580	1.0
04030 G protein-coupled receptors	K08424	1.0
04030 G protein-coupled receptors	K04247	1.0
09153 Circulatory system	04270 Vascular smooth muscle contraction	1.0
04270 Vascular smooth muscle contraction	K16367	1.0
04270 Vascular smooth muscle contraction	K05227	1.0
09154 Digestive system	04971 Gastric acid secretion	1.0
04971 Gastric acid secretion	K05237	1.0
05034 Alcoholism	K05232	1.0
09152 Endocrine system	04935 Growth hormone synthesis, secretion and action	1.0
04935 Growth hormone synthesis, secretion and action	K05254	1.0
09152 Endocrine system	04921 Oxytocin signaling pathway	1.0
04921 Oxytocin signaling pathway	K05243	1.0
04030 G protein-coupled receptors	K04153	1.0
04030 G protein-coupled receptors	K04615	1.0
04030 G protein-coupled receptors	K04204	1.0
04030 G protein-coupled receptors	K04217	1.0
04030 G protein-coupled receptors	K04218	1.0
04030 G protein-coupled receptors	K04221	1.0
04030 G protein-coupled receptors	K08401	1.0
04030 G protein-coupled receptors	K08402	1.0
04030 G protein-coupled receptors	K04328	1.0
04030 G protein-coupled receptors	K10042	1.0
04030 G protein-coupled receptors	K04284	1.0
04040 Ion channels	K04955	1.0
04040 Ion channels	K04957	1.0
04040 Ion channels	K04948	1.0
04040 Ion channels	K04949	1.0
04040 Ion channels	K04950	1.0
04040 Ion channels	K04951	1.0
04040 Ion channels	K04952	1.0
04040 Ion channels	K04953	1.0
01009 Protein phosphatases and associated proteins	K15494	1.0
03000 Transcription factors	K18435	1.0
03310 Nuclear receptors	K07294	1.0
01009 Protein phosphatases and associated proteins	K06270	1.0
04147 Exosome	K12755	1.0
04812 Cytoskeleton proteins	K12044	1.0
04040 Ion channels	K05213	1.0
04040 Ion channels	K05214	1.0
04040 Ion channels	K05197	1.0
04040 Ion channels	K05198	1.0
04040 Ion channels	K05199	1.0
04040 Ion channels	K05200	1.0
04147 Exosome	K01539	1.0
04090 CD molecules	K01540	1.0
04147 Exosome	K01538	1.0
02000 Transporters	K13360	1.0
04030 G protein-coupled receptors	K04138	1.0
04030 G protein-coupled receptors	K04139	1.0
04030 G protein-coupled receptors	K04140	1.0
04040 Ion channels	K04969	1.0
03000 Transcription factors	K09183	1.0
04812 Cytoskeleton proteins	K17751	1.0
04714 Thermogenesis	K12335	1.0
05418 Fluid shear stress and atherosclerosis	K12336	1.0
01001 Protein kinases	K07376	1.0
01001 Protein kinases	K19477	1.0
04040 Ion channels	K04936	1.0
04040 Ion channels	K05274	1.0
04040 Ion channels	K04937	1.0
04040 Ion channels	K04938	1.0
04040 Ion channels	K04939	1.0
04040 Ion channels	K04941	1.0
09157 Sensory system	04740 Olfactory transduction	1.0
04740 Olfactory transduction	K18154	1.0
04270 Vascular smooth muscle contraction	K12337	1.0
04040 Ion channels	K05001	1.0
00536 Glycosaminoglycan binding proteins	K10159	1.0
04090 CD molecules	K06465	1.0
04662 B cell receptor signaling pathway	K12230	1.0
00536 Glycosaminoglycan binding proteins	K06236	1.0
00536 Glycosaminoglycan binding proteins	K19719	1.0
00536 Glycosaminoglycan binding proteins	K06237	1.0
00536 Glycosaminoglycan binding proteins	K06238	1.0
00535 Proteoglycans	K08131	1.0
09166 Cardiovascular disease	05416 Viral myocarditis	1.0
05416 Viral myocarditis	K05637	1.0
05145 Toxoplasmosis	K06240	1.0
05143 African trypanosomiasis	K06241	1.0
05145 Toxoplasmosis	K05636	1.0
05145 Toxoplasmosis	K06243	1.0
05145 Toxoplasmosis	K06244	1.0
05145 Toxoplasmosis	K06245	1.0
09164 Neurodegenerative disease	05020 Prion disease	1.0
05020 Prion disease	K05635	1.0
05145 Toxoplasmosis	K06246	1.0
05145 Toxoplasmosis	K06247	1.0
00535 Proteoglycans	K06248	1.0
09164 Neurodegenerative disease	05017 Spinocerebellar ataxia	1.0
05017 Spinocerebellar ataxia	K06249	1.0
00536 Glycosaminoglycan binding proteins	K04659	1.0
04990 Domain-containing proteins not elsewhere classified	K05717	1.0
00536 Glycosaminoglycan binding proteins	K06251	1.0
00536 Glycosaminoglycan binding proteins	K06252	1.0
04147 Exosome	K03900	1.0
05165 Human papillomavirus infection	K06253	1.0
04090 CD molecules	K06480	1.0
04090 CD molecules	K06481	1.0
04090 CD molecules	K06482	1.0
04090 CD molecules	K06483	1.0
04090 CD molecules	K06484	1.0
04090 CD molecules	K06485	1.0
04515 Cell adhesion molecules	K06583	1.0
04515 Cell adhesion molecules	K06584	1.0
04515 Cell adhesion molecules	K06585	1.0
04515 Cell adhesion molecules	K06586	1.0
04515 Cell adhesion molecules	K06587	1.0
04090 CD molecules	K06487	1.0
04090 CD molecules	K06525	1.0
04515 Cell adhesion molecules	K06588	1.0
04515 Cell adhesion molecules	K06589	1.0
04515 Cell adhesion molecules	K06590	1.0
04515 Cell adhesion molecules	K06591	1.0
05206 MicroRNAs in cancer	K08270	1.0
04131 Membrane trafficking	K08266	1.0
04131 Membrane trafficking	K07204	1.0
03012 Translation factors	K03258	1.0
01001 Protein kinases	K06071	1.0
01001 Protein kinases	K23691	1.0
01001 Protein kinases	K23692	1.0
00536 Glycosaminoglycan binding proteins	K09554	1.0
04931 Insulin resistance	K16333	1.0
01009 Protein phosphatases and associated proteins	K16340	1.0
04151 PI3K-Akt signaling pathway	K10167	1.0
04151 PI3K-Akt signaling pathway	K16836	1.0
04151 PI3K-Akt signaling pathway	K16837	1.0
01001 Protein kinases	K02089	1.0
01001 Protein kinases	K02091	1.0
03310 Nuclear receptors	K08524	1.0
03000 Transcription factors	K09420	1.0
04150 mTOR signaling pathway	K08272	1.0
01001 Protein kinases	K08271	1.0
01001 Protein kinases	K17532	1.0
01001 Protein kinases	K07359	1.0
04990 Domain-containing proteins not elsewhere classified	K07296	1.0
04932 Non-alcoholic fatty liver disease	K07297	1.0
03310 Nuclear receptors	K07292	1.0
03041 Spliceosome	K13088	1.0
03036 Chromosome and associated proteins	K06627	1.0
01001 Protein kinases	K08292	1.0
04147 Exosome	K03234	1.0
04131 Membrane trafficking	K07197	1.0
04152 AMPK signaling pathway	K25893	1.0
04131 Membrane trafficking	K18341	1.0
04031 GTP-binding proteins	K07877	1.0
04031 GTP-binding proteins	K07901	1.0
04031 GTP-binding proteins	K07903	1.0
04031 GTP-binding proteins	K07905	1.0
04031 GTP-binding proteins	K07881	1.0
04090 CD molecules	K06259	1.0
04131 Membrane trafficking	K16184	1.0
03310 Nuclear receptors	K08530	1.0
03029 Mitochondrial biogenesis	K21357	1.0
02000 Transporters	K13780	1.0
04090 CD molecules	K06519	1.0
02000 Transporters	K14995	1.0
04150 mTOR signaling pathway	K20397	1.0
04150 mTOR signaling pathway	K20398	1.0
04150 mTOR signaling pathway	K20399	1.0
04150 mTOR signaling pathway	K16344	1.0
05211 Renal cell carcinoma	K09594	1.0
04150 mTOR signaling pathway	K20400	1.0
04150 mTOR signaling pathway	K20401	1.0
09171 Infectious disease: bacterial	05131 Shigellosis	1.0
05131 Shigellosis	K16185	1.0
05131 Shigellosis	K16186	1.0
09149 Aging	04211 Longevity regulating pathway	1.0
04211 Longevity regulating pathway	K20394	1.0
04150 mTOR signaling pathway	K23080	1.0
04150 mTOR signaling pathway	K23081	1.0
04131 Membrane trafficking	K20407	1.0
04131 Membrane trafficking	K20408	1.0
04131 Membrane trafficking	K20409	1.0
04131 Membrane trafficking	K20404	1.0
04131 Membrane trafficking	K20405	1.0
04131 Membrane trafficking	K20406	1.0
04121 Ubiquitin system	K15705	1.0
04131 Membrane trafficking	K20402	1.0
03400 DNA repair and recombination proteins	K20403	1.0
04812 Cytoskeleton proteins	K10421	1.0
04131 Membrane trafficking	K20064	1.0
03029 Mitochondrial biogenesis	K08269	1.0
04131 Membrane trafficking	K20396	1.0
04131 Membrane trafficking	K20410	1.0
04131 Membrane trafficking	K08267	1.0
04131 Membrane trafficking	K20411	1.0
04075 Plant hormone signal transduction	K13946	1.0
04075 Plant hormone signal transduction	K14484	1.0
04121 Ubiquitin system	K14485	1.0
04075 Plant hormone signal transduction	K14486	1.0
04075 Plant hormone signal transduction	K14487	1.0
04075 Plant hormone signal transduction	K14488	1.0
04075 Plant hormone signal transduction	K14489	1.0
04075 Plant hormone signal transduction	K14490	1.0
04075 Plant hormone signal transduction	K14491	1.0
04075 Plant hormone signal transduction	K14492	1.0
04075 Plant hormone signal transduction	K14493	1.0
04121 Ubiquitin system	K14495	1.0
04075 Plant hormone signal transduction	K14494	1.0
03000 Transcription factors	K12126	1.0
03000 Transcription factors	K16189	1.0
03000 Transcription factors	K14432	1.0
03000 Transcription factors	K14517	1.0
01001 Protein kinases	K13415	1.0
04075 Plant hormone signal transduction	K14499	1.0
01001 Protein kinases	K14500	1.0
04075 Plant hormone signal transduction	K14501	1.0
01001 Protein kinases	K14502	1.0
04075 Plant hormone signal transduction	K14503	1.0
04075 Plant hormone signal transduction	K14504	1.0
04075 Plant hormone signal transduction	K14505	1.0
04075 Plant hormone signal transduction	K14506	1.0
04121 Ubiquitin system	K13463	1.0
04075 Plant hormone signal transduction	K13464	1.0
03000 Transcription factors	K14507	1.0
04121 Ubiquitin system	K14508	1.0
03000 Transcription factors	K14431	1.0
04030 G protein-coupled receptors	K04132	1.0
04030 G protein-coupled receptors	K04134	1.0
04030 G protein-coupled receptors	K04146	1.0
04030 G protein-coupled receptors	K04147	1.0
04030 G protein-coupled receptors	K04148	1.0
04030 G protein-coupled receptors	K04151	1.0
04030 G protein-coupled receptors	K04152	1.0
04030 G protein-coupled receptors	K05051	1.0
04030 G protein-coupled receptors	K04167	1.0
04080 Neuroactive ligand-receptor interaction	K05223	1.0
04080 Neuroactive ligand-receptor interaction	K05224	1.0
04030 G protein-coupled receptors	K04168	1.0
04030 G protein-coupled receptors	K04170	1.0
04147 Exosome	K03990	1.0
04030 G protein-coupled receptors	K04009	1.0
01002 Peptidases and inhibitors	K03994	1.0
04090 CD molecules	K04010	1.0
04080 Neuroactive ligand-receptor interaction	K25695	1.0
04030 G protein-coupled receptors	K04173	1.0
09154 Digestive system	04972 Pancreatic secretion	1.0
04972 Pancreatic secretion	K05226	1.0
04080 Neuroactive ligand-receptor interaction	K05244	1.0
04080 Neuroactive ligand-receptor interaction	K25482	1.0
04080 Neuroactive ligand-receptor interaction	K25694	1.0
04030 G protein-coupled receptors	K04230	1.0
04030 G protein-coupled receptors	K04231	1.0
04030 G protein-coupled receptors	K04232	1.0
09152 Endocrine system	04929 GnRH secretion	1.0
04929 GnRH secretion	K23140	1.0
04030 G protein-coupled receptors	K08374	1.0
04030 G protein-coupled receptors	K04199	1.0
04030 G protein-coupled receptors	K04201	1.0
04030 G protein-coupled receptors	K04202	1.0
04030 G protein-coupled receptors	K04203	1.0
04080 Neuroactive ligand-receptor interaction	K05265	1.0
04030 G protein-coupled receptors	K05266	1.0
04080 Neuroactive ligand-receptor interaction	K05249	1.0
04080 Neuroactive ligand-receptor interaction	K25690	1.0
04030 G protein-coupled receptors	K05052	1.0
04030 G protein-coupled receptors	K05053	1.0
04080 Neuroactive ligand-receptor interaction	K05247	1.0
04080 Neuroactive ligand-receptor interaction	K25692	1.0
04030 G protein-coupled receptors	K04240	1.0
04030 G protein-coupled receptors	K08375	1.0
04080 Neuroactive ligand-receptor interaction	K25691	1.0
04030 G protein-coupled receptors	K08376	1.0
04080 Neuroactive ligand-receptor interaction	K05233	1.0
04080 Neuroactive ligand-receptor interaction	K05234	1.0
04030 G protein-coupled receptors	K04205	1.0
04030 G protein-coupled receptors	K04206	1.0
04030 G protein-coupled receptors	K04207	1.0
04030 G protein-coupled receptors	K04208	1.0
04030 G protein-coupled receptors	K04210	1.0
04080 Neuroactive ligand-receptor interaction	K23141	1.0
04080 Neuroactive ligand-receptor interaction	K05267	1.0
04030 G protein-coupled receptors	K05268	1.0
04030 G protein-coupled receptors	K08377	1.0
04080 Neuroactive ligand-receptor interaction	K05235	1.0
04030 G protein-coupled receptors	K04212	1.0
02000 Transporters	K18832	1.0
02000 Transporters	K15840	1.0
04080 Neuroactive ligand-receptor interaction	K25696	1.0
04030 G protein-coupled receptors	K04214	1.0
04030 G protein-coupled receptors	K04215	1.0
04030 G protein-coupled receptors	K04216	1.0
04080 Neuroactive ligand-receptor interaction	K25693	1.0
04030 G protein-coupled receptors	K08378	1.0
04080 Neuroactive ligand-receptor interaction	K05246	1.0
04030 G protein-coupled receptors	K04238	1.0
04030 G protein-coupled receptors	K04239	1.0
04080 Neuroactive ligand-receptor interaction	K05238	1.0
04030 G protein-coupled receptors	K04219	1.0
04030 G protein-coupled receptors	K04220	1.0
04080 Neuroactive ligand-receptor interaction	K05239	1.0
04080 Neuroactive ligand-receptor interaction	K05241	1.0
04080 Neuroactive ligand-receptor interaction	K05240	1.0
04080 Neuroactive ligand-receptor interaction	K05248	1.0
04080 Neuroactive ligand-receptor interaction	K24267	1.0
04030 G protein-coupled receptors	K04241	1.0
00536 Glycosaminoglycan binding proteins	K01319	1.0
01002 Peptidases and inhibitors	K01352	1.0
04147 Exosome	K01315	1.0
04147 Exosome	K01312	1.0
04030 G protein-coupled receptors	K04234	1.0
04030 G protein-coupled receptors	K04235	1.0
04080 Neuroactive ligand-receptor interaction	K05269	1.0
04030 G protein-coupled receptors	K04314	1.0
04080 Neuroactive ligand-receptor interaction	K05229	1.0
04030 G protein-coupled receptors	K04320	1.0
04030 G protein-coupled receptors	K05054	1.0
04030 G protein-coupled receptors	K04332	1.0
04030 G protein-coupled receptors	K04261	1.0
04030 G protein-coupled receptors	K04263	1.0
04030 G protein-coupled receptors	K04269	1.0
04030 G protein-coupled receptors	K04271	1.0
04030 G protein-coupled receptors	K04272	1.0
04030 G protein-coupled receptors	K04274	1.0
04030 G protein-coupled receptors	K04299	1.0
04030 G protein-coupled receptors	K08386	1.0
04030 G protein-coupled receptors	K08387	1.0
04030 G protein-coupled receptors	K08388	1.0
04050 Cytokine receptors	K04276	1.0
04030 G protein-coupled receptors	K04278	1.0
09152 Endocrine system	04912 GnRH signaling pathway	1.0
04912 GnRH signaling pathway	K05252	1.0
04030 G protein-coupled receptors	K04280	1.0
04080 Neuroactive ligand-receptor interaction	K05253	1.0
